Date,Playstation,Xbox,Nintendo,Other
2020-01,70.51,25.9,3.59,0
2020-02,72.81,23.95,3.24,0
2020-03,72.57,24.27,3.16,0
2020-04,73.34,23.28,3.38,0
2020-05,70.59,26.14,3.27,0
2020-06,70.34,26.1,3.56,0
2020-07,70.19,26.28,3.53,0
2020-08,73.4,23.43,3.17,0
2020-09,73.14,23.87,3,0
2020-10,69.59,25.75,4.66,0
2020-11,65.37,27.22,7.41,0
2020-12,70.21,27.32,2.48,0
2021-01,70.51,25.9,3.59,0
2021-02,72.81,23.95,3.24,0
2021-03,72.57,24.27,3.16,0
2021-04,73.34,23.28,3.38,0
2021-05,70.59,26.14,3.27,0
2021-06,70.34,26.1,3.56,0
2021-07,70.19,26.28,3.53,0
2021-08,73.4,23.43,3.17,0
2021-09,73.14,23.87,3,0
2021-10,69.59,25.75,4.66,0
2021-11,65.37,27.22,7.41,0
2021-12,70.21,27.32,2.48,0
